iter	Passed	Remaining
400	26287	39267
401	26359	39211
402	26438	39166
403	26508	39106
404	26610	39093
405	26755	39144
406	26832	39095
407	26908	39043
408	26984	38992
409	27050	38925
410	27112	38855
411	27222	38852
412	27290	38788
413	27362	38730
414	27434	38672
415	27512	38623
416	27579	38557
417	27647	38494
418	27753	38484
419	27830	38432
420	27907	38380
421	27996	38346
422	28062	38278
423	28134	38221
424	28198	38150
425	28314	38150
426	28403	38115
427	28485	38069
428	28556	38008
429	28626	37947
430	28704	37894
431	28774	37833
432	28841	37767
433	28936	37737
434	29009	37678
435	29083	37622
436	29148	37552
437	29222	37496
438	29288	37427
439	29365	37373
440	29440	37317
441	29516	37262
442	29588	37202
443	29667	37150
444	29737	37088
445	29805	37023
446	29890	36978
447	29965	36922
448	30048	36874
449	30124	36819
450	30199	36761
451	30274	36704
452	30342	36638
453	30419	36584
454	30503	36537
455	30594	36498
456	30688	36463
457	30790	36437
458	30870	36385
459	30959	36343
460	31061	36317
461	31155	36280
462	31241	36234
463	31340	36203
464	31433	36165
465	31496	36092
466	31581	36044
467	31664	35994
468	31753	35951
469	31831	35895
470	31909	35839
471	32010	35808
472	32087	35750
473	32165	35694
474	32254	35649
475	32336	35596
476	32429	35556
477	32516	35509
478	32589	35446
479	32768	35499
480	32862	35459
481	32942	35402
482	33025	35350
483	33114	35304
484	33195	35249
485	33293	35211
486	33389	35172
487	33470	35116
488	33550	35060
489	33634	35007
490	33732	34968
491	33813	34913
492	33893	34855
493	34040	34867
494	34129	34819
495	34236	34788
496	34330	34745
497	34421	34698
498	34497	34635
499	34572	34572
500	34637	34499
501	34722	34445
502	34797	34382
503	34874	34321
504	34948	34256
505	35011	34180
506	35105	34136
507	35179	34071
508	35250	34003
509	35300	33916
510	35365	33842
511	35423	33763
512	35483	33685
513	35553	33616
514	35620	33545
515	35684	33471
516	35764	33412
517	35823	33333
518	35884	33256
519	35946	33181
520	36013	33110
521	36074	33033
522	36152	32973
523	36224	32906
524	36288	32832
525	36344	32751
526	36403	32673
527	36465	32598
528	36553	32545
529	36616	32471
530	36679	32396
531	36760	32337
532	36817	32258
533	36872	32177
534	36932	32100
535	37001	32031
536	37058	31951
537	37111	31869
538	37169	31790
539	37228	31713
540	37288	31636
541	37342	31554
542	37403	31479
543	37472	31411
544	37543	31343
545	37596	31261
546	37650	31180
547	37705	31100
548	37769	31027
549	37826	30948
550	37882	30869
551	37939	30791
552	38015	30728
553	38067	30646
554	38124	30568
555	38176	30486
556	38243	30416
557	38300	30338
558	38357	30260
559	38413	30181
560	38470	30104
561	38567	30058
562	38625	29981
563	38692	29911
564	38768	29848
565	38830	29774
566	38890	29699
567	38951	29625
568	39025	29560
569	39088	29487
570	39144	29410
571	39210	29339
572	39286	29276
573	39345	29200
574	39400	29122
575	39457	29044
576	39524	28975
577	39587	28903
578	39651	28831
579	39710	28755
580	39831	28725
581	39917	28669
582	40006	28615
583	40072	28545
584	40144	28478
585	40206	28405
586	40269	28332
587	40330	28258
588	40388	28183
589	40451	28110
590	40519	28041
591	40601	27981
592	40664	27909
593	40727	27837
594	40793	27766
595	40864	27700
596	40937	27634
597	41023	27577
598	41121	27528
599	41204	27469
600	41263	27394
601	41330	27324
602	41405	27260
603	41485	27198
604	41549	27127
605	41626	27064
606	41702	27000
607	41767	26929
608	41836	26860
609	41908	26793
610	41979	26726
611	42057	26664
612	42120	26591
613	42180	26517
614	42241	26443
615	42300	26369
616	42385	26310
617	42464	26248
618	42523	26173
619	42582	26098
620	42652	26031
621	42715	25959
622	42770	25882
623	42829	25807
624	42886	25732
625	42956	25664
626	43019	25591
627	43076	25516
628	43137	25443
629	43201	25372
630	43265	25300
631	43324	25226
632	43383	25152
633	43472	25095
634	43530	25021
635	43592	24948
636	43647	24872
637	43723	24808
638	43817	24754
639	43876	24680
640	43936	24607
641	43999	24535
642	44061	24463
643	44122	24390
644	44194	24324
645	44260	24254
646	44319	24180
647	44379	24107
648	44440	24034
649	44501	23962
650	44563	23890
651	44622	23816
652	44700	23753
653	44766	23683
654	44824	23609
655	44882	23536
656	44956	23470
657	45011	23395
658	45075	23324
659	45137	23252
660	45194	23178
661	45258	23107
662	45317	23034
663	45378	22962
664	45440	22891
665	45507	22822
666	45565	22748
667	45633	22680
668	45694	22608
669	45759	22538
670	45822	22467
671	45880	22394
672	45945	22324
673	46017	22257
674	46083	22188
675	46148	22118
676	46206	22045
677	46267	21973
678	46325	21900
679	46388	21829
680	46448	21757
681	46506	21684
682	46595	21626
683	46662	21557
684	46731	21489
685	46793	21418
686	46906	21370
687	46998	21313
688	47062	21242
689	47124	21171
690	47200	21107
691	47264	21036
692	47322	20964
693	47387	20894
694	47444	20821
695	47514	20753
696	47581	20684
697	47641	20612
698	47709	20544
699	47767	20471
700	47825	20399
701	47893	20330
702	47956	20260
703	48019	20190
704	48075	20116
705	48142	20048
706	48198	19974
707	48259	19903
708	48332	19837
709	48402	19770
710	48488	19709
711	48551	19638
712	48618	19570
713	48694	19504
714	48757	19434
715	48822	19365
716	48886	19295
717	48960	19229
718	49023	19159
719	49084	19088
720	49144	19017
721	49251	18963
722	49311	18892
723	49384	18826
724	49447	18755
725	49551	18701
726	49616	18631
727	49673	18559
728	49756	18496
729	49830	18430
730	49891	18359
731	49959	18291
732	50051	18231
733	50113	18160
734	50173	18089
735	50236	18019
736	50313	17954
737	50377	17884
738	50444	17815
739	50507	17745
740	50570	17675
741	50635	17606
742	50709	17540
743	50784	17474
744	50848	17404
745	50911	17334
746	50978	17265
747	51050	17198
748	51113	17128
749	51172	17057
750	51239	16988
751	51314	16922
752	51393	16858
753	51490	16799
754	51556	16730
755	51626	16662
756	51695	16594
757	51767	16527
758	51837	16459
759	51896	16388
760	51960	16318
761	52019	16247
762	52100	16183
763	52158	16111
764	52215	16040
765	52282	15971
766	52347	15902
767	52410	15832
768	52475	15763
769	52538	15693
770	52598	15622
771	52655	15551
772	52716	15480
773	52782	15411
774	52840	15340
775	52899	15270
776	52954	15197
777	53013	15127
778	53076	15057
779	53153	14991
780	53261	14935
781	53374	14879
782	53432	14808
783	53489	14736
784	53560	14669
785	53622	14599
786	53684	14529
787	53754	14461
788	53812	14390
789	53873	14320
790	53936	14251
791	53997	14181
792	54057	14110
793	54114	14039
794	54176	13970
795	54233	13899
796	54292	13828
797	54354	13758
798	54413	13688
799	54481	13620
800	54598	13564
801	54707	13506
802	54773	13437
803	54839	13368
804	54903	13299
805	54966	13230
806	55039	13163
807	55097	13092
808	55160	13022
809	55223	12953
810	55285	12884
811	55348	12814
812	55421	12747
813	55511	12684
814	55623	12626
815	55688	12557
816	55760	12489
817	55826	12421
818	55881	12349
819	55970	12286
820	56047	12219
821	56108	12150
822	56176	12081
823	56242	12012
824	56324	11947
825	56404	11881
826	56476	11814
827	56544	11745
828	56602	11675
829	56670	11607
830	56739	11539
831	56801	11469
832	56873	11402
833	56945	11334
834	57012	11266
835	57086	11198
836	57150	11129
837	57221	11061
838	57288	10993
839	57363	10926
840	57447	10861
841	57517	10793
842	57578	10723
843	57648	10655
844	57719	10587
845	57778	10517
846	57845	10449
847	57916	10381
848	57972	10310
849	58037	10241
850	58092	10171
851	58159	10102
852	58227	10034
853	58295	9966
854	58369	9898
855	58452	9833
856	58516	9764
857	58583	9695
858	58651	9627
859	58723	9559
860	58800	9492
861	58862	9423
862	58928	9354
863	58987	9285
864	59051	9216
865	59115	9147
866	59177	9077
867	59249	9010
868	59310	8940
869	59372	8871
870	59431	8802
871	59506	8734
