matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
5700073,The Sapphire Flame,Grey Talon,Haze,Infernus,Lash,Shiv,Seven,Warden,Wraith,Vindicta,Dynamo,Yamato,McGinnis
5700074,The Amber Hand,Dynamo,Vindicta,Haze,Kelvin,McGinnis,Seven,Grey Talon,Wraith,Lady Geist,Lash,Infernus,Paradox
5700075,The Sapphire Flame,Vindicta,Haze,Grey Talon,Paradox,McGinnis,Infernus,Seven,Yamato,Viscous,Bebop,Dynamo,Abrams
5700078,The Sapphire Flame,Ivy,Bebop,Grey Talon,Kelvin,Shiv,Seven,Haze,Lash,Warden,Viscous,Infernus,Vindicta
5700079,The Sapphire Flame,Seven,Infernus,Wraith,Ivy,Haze,Grey Talon,Yamato,Vindicta,Bebop,Viscous,Shiv,Abrams
5700080,The Sapphire Flame,Lash,Abrams,Infernus,Paradox,Pocket,Wraith,Dynamo,Lady Geist,Kelvin,Haze,Vindicta,Seven
5700081,The Sapphire Flame,Lash,Wraith,Grey Talon,Infernus,Kelvin,Yamato,Seven,Warden,Lady Geist,Haze,Bebop,Vindicta
5700085,The Sapphire Flame,Viscous,Shiv,Ivy,Abrams,Kelvin,Wraith,Seven,Vindicta,Haze,Warden,Pocket,Lady Geist
5700086,The Amber Hand,Bebop,Seven,Grey Talon,Wraith,Haze,Shiv,Warden,Vindicta,Lady Geist,Paradox,Lash,Infernus
5700087,The Amber Hand,Mo & Krill,Seven,Vindicta,Dynamo,Bebop,Pocket,Haze,Infernus,Yamato,Shiv,McGinnis,Grey Talon
5700088,The Sapphire Flame,Haze,Kelvin,Bebop,Abrams,Paradox,Infernus,Wraith,Grey Talon,Seven,Ivy,Yamato,Lady Geist
5700089,The Amber Hand,Haze,Lash,Vindicta,Kelvin,Dynamo,Bebop,Infernus,Mo & Krill,Wraith,Seven,Warden,Shiv
5700090,The Amber Hand,Abrams,Dynamo,Haze,Lady Geist,McGinnis,Infernus,Pocket,Wraith,Vindicta,Bebop,Lash,Paradox
5700097,The Amber Hand,Wraith,Infernus,Lady Geist,Viscous,Grey Talon,Abrams,Seven,Shiv,Warden,Vindicta,Haze,Ivy
5700098,The Sapphire Flame,Lash,Paradox,Bebop,Seven,McGinnis,Infernus,Dynamo,Yamato,Vindicta,Haze,Kelvin,Warden
5700101,The Amber Hand,Wraith,Seven,Ivy,Yamato,Grey Talon,Haze,Bebop,Kelvin,Abrams,Dynamo,Infernus,Vindicta
5700104,The Sapphire Flame,Pocket,Paradox,Haze,Viscous,Vindicta,Shiv,Wraith,Yamato,McGinnis,Seven,Lash,Bebop
5700106,The Sapphire Flame,McGinnis,Wraith,Seven,Bebop,Grey Talon,Pocket,Haze,Viscous,Vindicta,Warden,Infernus,Yamato
5700108,The Amber Hand,Yamato,Lady Geist,Vindicta,Bebop,Abrams,Infernus,Pocket,Paradox,Haze,Wraith,Seven,Dynamo
5700109,The Sapphire Flame,Haze,Yamato,Pocket,Wraith,Viscous,Ivy,Bebop,Vindicta,Seven,Lady Geist,Infernus,Grey Talon
5700112,The Sapphire Flame,Grey Talon,Vindicta,Haze,Paradox,Abrams,Shiv,Infernus,Wraith,McGinnis,Bebop,Seven,Warden
5700113,The Amber Hand,Infernus,Lash,Warden,Shiv,Wraith,Seven,Vindicta,Pocket,McGinnis,Bebop,Haze,Yamato
5700115,The Sapphire Flame,Infernus,Wraith,Vindicta,Viscous,Paradox,Lady Geist,McGinnis,Haze,Seven,Grey Talon,Pocket,Abrams
5700116,The Sapphire Flame,Grey Talon,Pocket,Paradox,Yamato,Bebop,Ivy,Lady Geist,Vindicta,Mo & Krill,Seven,Kelvin,Haze
5700117,The Sapphire Flame,Grey Talon,Bebop,Dynamo,McGinnis,Haze,Kelvin,Ivy,Wraith,Abrams,Infernus,Seven,Warden
5700118,The Amber Hand,Kelvin,Shiv,Wraith,Infernus,Vindicta,Grey Talon,Abrams,Mo & Krill,McGinnis,Haze,Yamato,Seven
5700119,The Amber Hand,Wraith,Shiv,Seven,Grey Talon,Haze,Infernus,Paradox,Warden,Pocket,Yamato,Vindicta,Dynamo
5700120,The Amber Hand,Infernus,Pocket,Vindicta,McGinnis,Paradox,Lash,Wraith,Dynamo,Grey Talon,Ivy,Haze,Bebop
5700127,The Amber Hand,Pocket,Bebop,Grey Talon,Warden,Infernus,McGinnis,Seven,Vindicta,Haze,Mo & Krill,Abrams,Ivy
5700128,The Amber Hand,McGinnis,Vindicta,Infernus,Haze,Viscous,Abrams,Grey Talon,Bebop,Lash,Seven,Kelvin,Paradox
5700129,The Sapphire Flame,Abrams,Haze,Pocket,Viscous,Grey Talon,Seven,Vindicta,Wraith,Bebop,Yamato,Warden,Ivy
5700130,The Amber Hand,Haze,Viscous,Pocket,Paradox,Infernus,Wraith,Bebop,Warden,Seven,Yamato,Dynamo,McGinnis
5700131,The Amber Hand,Yamato,Seven,Bebop,Kelvin,McGinnis,Wraith,Dynamo,Shiv,Grey Talon,Haze,Lady Geist,Pocket
5700135,The Amber Hand,Abrams,Wraith,Grey Talon,Seven,Lady Geist,Bebop,McGinnis,Warden,Vindicta,Infernus,Lash,Kelvin
5700137,The Amber Hand,Grey Talon,Abrams,Ivy,Seven,Yamato,Shiv,Lady Geist,Infernus,Warden,Wraith,Haze,Vindicta
5700138,The Sapphire Flame,Yamato,Lash,Kelvin,Mo & Krill,Dynamo,Infernus,McGinnis,Wraith,Paradox,Shiv,Haze,Ivy
5700139,The Amber Hand,Vindicta,Yamato,Infernus,Wraith,Lady Geist,Shiv,Bebop,Grey Talon,Pocket,Haze,McGinnis,Seven
5700140,The Amber Hand,McGinnis,Abrams,Seven,Vindicta,Mo & Krill,Infernus,Warden,Haze,Shiv,Wraith,Bebop,Lady Geist
5700141,The Amber Hand,Seven,Grey Talon,Abrams,Bebop,Wraith,Infernus,Haze,Warden,Kelvin,Vindicta,Pocket,Paradox
5700142,The Amber Hand,Abrams,Haze,Yamato,Grey Talon,Kelvin,Seven,Paradox,Warden,Vindicta,Infernus,Bebop,Wraith
5700143,The Amber Hand,Lady Geist,Vindicta,Wraith,Haze,Infernus,Seven,Lash,Bebop,Paradox,McGinnis,Grey Talon,Kelvin
5700144,The Amber Hand,Paradox,Lady Geist,Bebop,Dynamo,Vindicta,Infernus,Seven,Abrams,McGinnis,Shiv,Mo & Krill,Pocket
5700145,The Sapphire Flame,Seven,Viscous,Infernus,Vindicta,Yamato,Lady Geist,Warden,Grey Talon,Dynamo,Abrams,McGinnis,Wraith
5700146,The Amber Hand,Vindicta,Infernus,Bebop,Grey Talon,Shiv,Lady Geist,Wraith,Haze,Seven,Warden,Dynamo,McGinnis
5700147,The Sapphire Flame,Seven,Mo & Krill,Wraith,Yamato,Pocket,Haze,Bebop,McGinnis,Viscous,Lash,Warden,Vindicta
5700152,The Sapphire Flame,Abrams,Haze,Paradox,Ivy,McGinnis,Vindicta,Bebop,Infernus,Lady Geist,Seven,Grey Talon,Viscous
5700153,The Amber Hand,Lash,Seven,Wraith,Paradox,McGinnis,Infernus,Mo & Krill,Pocket,Vindicta,Abrams,Shiv,Kelvin
5700155,The Sapphire Flame,Dynamo,Paradox,Infernus,Kelvin,Wraith,McGinnis,Yamato,Abrams,Seven,Shiv,Vindicta,Haze
5700158,The Sapphire Flame,Shiv,McGinnis,Seven,Infernus,Vindicta,Viscous,Warden,Kelvin,Abrams,Lady Geist,Wraith,Haze
5700160,The Sapphire Flame,Warden,Ivy,McGinnis,Bebop,Wraith,Haze,Seven,Infernus,Lady Geist,Pocket,Dynamo,Grey Talon
5700161,The Sapphire Flame,Abrams,McGinnis,Vindicta,Pocket,Lady Geist,Infernus,Seven,Mo & Krill,Yamato,Bebop,Viscous,Wraith
5700162,The Sapphire Flame,Infernus,Ivy,Vindicta,Wraith,Lady Geist,Haze,Warden,Paradox,Abrams,Seven,Grey Talon,McGinnis
5700171,The Amber Hand,Yamato,Grey Talon,Bebop,Abrams,Lady Geist,Vindicta,Seven,Lash,Viscous,Dynamo,McGinnis,Wraith
5700172,The Amber Hand,Lady Geist,McGinnis,Dynamo,Bebop,Pocket,Seven,Kelvin,Grey Talon,Infernus,Haze,Paradox,Wraith
5700173,The Sapphire Flame,Pocket,Haze,Warden,Vindicta,Mo & Krill,Infernus,Wraith,Lady Geist,Paradox,Shiv,Lash,Seven
5700176,The Sapphire Flame,Pocket,Infernus,Vindicta,Seven,Lady Geist,Bebop,Wraith,Warden,Haze,Paradox,Abrams,Grey Talon
5700177,The Sapphire Flame,Infernus,Seven,McGinnis,Vindicta,Mo & Krill,Lash,Wraith,Haze,Grey Talon,Shiv,Pocket,Abrams
5700179,The Amber Hand,Vindicta,Pocket,Shiv,McGinnis,Haze,Infernus,Dynamo,Wraith,Abrams,Paradox,Grey Talon,Seven
5700180,The Amber Hand,Lash,Seven,Bebop,Pocket,Dynamo,Grey Talon,Yamato,Wraith,Infernus,Vindicta,Warden,Kelvin
5700181,The Sapphire Flame,Yamato,Wraith,Vindicta,Ivy,Infernus,Grey Talon,Pocket,Warden,Lash,Haze,Seven,McGinnis
5700189,The Amber Hand,Wraith,Viscous,Mo & Krill,Dynamo,Lash,Vindicta,Shiv,Infernus,Seven,Kelvin,McGinnis,Haze
5700190,The Amber Hand,Lash,Infernus,Pocket,Abrams,Seven,Dynamo,Shiv,Bebop,Paradox,Kelvin,Lady Geist,Grey Talon
5700191,The Sapphire Flame,Yamato,Vindicta,Bebop,Lash,McGinnis,Seven,Infernus,Mo & Krill,Warden,Paradox,Kelvin,Wraith
5700192,The Sapphire Flame,Grey Talon,Pocket,Vindicta,Lash,Lady Geist,Paradox,Bebop,Warden,Dynamo,Haze,Infernus,Wraith
5700195,The Amber Hand,Pocket,Grey Talon,Kelvin,Warden,Paradox,Haze,Vindicta,Infernus,McGinnis,Seven,Wraith,Ivy
5700196,The Sapphire Flame,McGinnis,Seven,Shiv,Pocket,Yamato,Haze,Infernus,Vindicta,Bebop,Dynamo,Grey Talon,Wraith
5700205,The Sapphire Flame,Seven,Yamato,Abrams,Dynamo,Warden,Bebop,Haze,Lash,Ivy,Infernus,Pocket,Mo & Krill
5700206,The Sapphire Flame,Shiv,Haze,Yamato,Seven,Bebop,Wraith,Ivy,Lash,Paradox,Grey Talon,McGinnis,Vindicta
5700209,The Amber Hand,Bebop,Wraith,Mo & Krill,Infernus,McGinnis,Abrams,Warden,Seven,Haze,Kelvin,Vindicta,Grey Talon
5700210,The Sapphire Flame,Lash,McGinnis,Vindicta,Seven,Infernus,Yamato,Warden,Wraith,Bebop,Haze,Grey Talon,Paradox
5700211,The Amber Hand,Ivy,Dynamo,McGinnis,Seven,Mo & Krill,Viscous,Yamato,Wraith,Grey Talon,Paradox,Bebop,Haze
5700213,The Amber Hand,Lash,Bebop,Vindicta,Haze,Wraith,Paradox,McGinnis,Yamato,Infernus,Seven,Mo & Krill,Warden
5700220,The Sapphire Flame,Mo & Krill,Warden,Grey Talon,Haze,Shiv,Wraith,Ivy,Seven,Dynamo,Bebop,Vindicta,Lady Geist
5700221,The Sapphire Flame,Grey Talon,Seven,Haze,Ivy,Warden,Dynamo,Vindicta,Bebop,Shiv,Infernus,McGinnis,Lady Geist
5700222,The Sapphire Flame,Abrams,Lash,McGinnis,Vindicta,Ivy,Wraith,Bebop,Pocket,Grey Talon,Seven,Lady Geist,Haze
5700223,The Sapphire Flame,Shiv,Ivy,McGinnis,Lash,Dynamo,Infernus,Paradox,Kelvin,Wraith,Seven,Haze,Bebop
5700224,The Amber Hand,Seven,Vindicta,Wraith,Kelvin,Shiv,Dynamo,Haze,Abrams,Infernus,Bebop,Lady Geist,Pocket
5700225,The Sapphire Flame,Shiv,Abrams,Dynamo,Viscous,Lady Geist,Vindicta,Haze,Infernus,Yamato,Warden,Seven,Wraith
5700227,The Amber Hand,Wraith,Yamato,Lady Geist,Dynamo,Seven,Shiv,Infernus,Vindicta,Haze,Paradox,Grey Talon,Warden
5700231,The Sapphire Flame,Wraith,Shiv,Lash,Viscous,Pocket,Dynamo,Ivy,Paradox,Haze,Seven,Abrams,McGinnis
5700232,The Amber Hand,Mo & Krill,McGinnis,Seven,Bebop,Dynamo,Warden,Haze,Shiv,Abrams,Lady Geist,Wraith,Pocket
5700233,The Sapphire Flame,Viscous,Seven,Lady Geist,Mo & Krill,Warden,Haze,Infernus,McGinnis,Wraith,Grey Talon,Abrams,Vindicta
5700238,The Amber Hand,Infernus,Yamato,Viscous,Haze,Lady Geist,Vindicta,Grey Talon,Wraith,Ivy,McGinnis,Paradox,Abrams
5700239,The Amber Hand,Bebop,Wraith,Vindicta,Seven,Yamato,Pocket,Warden,Haze,Paradox,Abrams,Kelvin,Infernus
5700240,The Amber Hand,Haze,McGinnis,Paradox,Shiv,Abrams,Bebop,Seven,Vindicta,Kelvin,Infernus,Wraith,Grey Talon
5700241,The Sapphire Flame,Wraith,Lash,Infernus,Dynamo,Paradox,Abrams,Bebop,Lady Geist,Grey Talon,Seven,Vindicta,Haze
5700245,The Amber Hand,Seven,Wraith,Infernus,Paradox,Shiv,Pocket,Grey Talon,Vindicta,Haze,Bebop,Dynamo,Lady Geist
5700246,The Sapphire Flame,Yamato,Abrams,Grey Talon,Paradox,Shiv,Wraith,Vindicta,Seven,Pocket,Ivy,Infernus,Haze
5700247,The Sapphire Flame,Vindicta,McGinnis,Warden,Viscous,Yamato,Infernus,Wraith,Paradox,Haze,Bebop,Grey Talon,Seven
5700248,The Amber Hand,Warden,Vindicta,Pocket,Bebop,Infernus,Wraith,Mo & Krill,Ivy,Haze,Lady Geist,McGinnis,Yamato
5700249,The Amber Hand,Mo & Krill,Wraith,Bebop,Lady Geist,Dynamo,Seven,Haze,McGinnis,Abrams,Vindicta,Infernus,Grey Talon
5700252,The Sapphire Flame,Seven,Infernus,Haze,Paradox,Wraith,Vindicta,Lash,Mo & Krill,Abrams,McGinnis,Kelvin,Lady Geist
5700260,The Sapphire Flame,Shiv,Haze,Abrams,Wraith,Lady Geist,Bebop,Warden,Seven,Vindicta,Infernus,Mo & Krill,Paradox
5700261,The Sapphire Flame,Seven,Infernus,Shiv,Wraith,Haze,Vindicta,Bebop,Grey Talon,Yamato,Pocket,Paradox,Mo & Krill
5700262,The Amber Hand,Grey Talon,Bebop,McGinnis,Abrams,Wraith,Ivy,Seven,Haze,Dynamo,Lash,Shiv,Pocket
5700263,The Sapphire Flame,Infernus,Viscous,Mo & Krill,Shiv,Pocket,Paradox,Ivy,Seven,Wraith,Haze,Warden,Bebop
5700264,The Amber Hand,Wraith,Abrams,Haze,Grey Talon,Mo & Krill,Bebop,Warden,Vindicta,McGinnis,Seven,Infernus,Paradox
