matchid,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6300091,The Amber Hand,Seven,Lash,Shiv,Infernus,Pocket,Haze,Bebop,Wraith,Paradox,Abrams,Grey Talon,Yamato
6300095,The Sapphire Flame,Seven,Warden,Dynamo,Ivy,Grey Talon,Abrams,Lash,Shiv,Kelvin,Lady Geist,Wraith,Pocket
6300099,The Sapphire Flame,Haze,Wraith,Paradox,Abrams,Seven,Kelvin,Mo & Krill,Shiv,Vindicta,McGinnis,Bebop,Grey Talon
6300100,The Amber Hand,Viscous,Pocket,Haze,Vindicta,Lash,Mo & Krill,Shiv,Dynamo,Infernus,Kelvin,Bebop,Grey Talon
6300103,The Sapphire Flame,Vindicta,Haze,Pocket,Infernus,Lady Geist,Bebop,Warden,Seven,Wraith,Grey Talon,Shiv,McGinnis
6300108,The Sapphire Flame,Haze,Abrams,Wraith,Seven,Pocket,Mo & Krill,Shiv,Infernus,Ivy,Vindicta,Bebop,Grey Talon
6300109,The Amber Hand,Vindicta,Kelvin,Haze,Wraith,Ivy,Bebop,Lash,Infernus,Seven,Mo & Krill,Grey Talon,Lady Geist
6300113,The Amber Hand,Ivy,Wraith,Yamato,Warden,Haze,Kelvin,Seven,Paradox,Pocket,McGinnis,Lady Geist,Mo & Krill
6300114,The Sapphire Flame,Grey Talon,McGinnis,Wraith,Pocket,Haze,Yamato,Bebop,Infernus,Ivy,Vindicta,Seven,Mo & Krill
6300116,The Sapphire Flame,Ivy,Bebop,Vindicta,Grey Talon,Wraith,Dynamo,Lash,Haze,Warden,Infernus,Paradox,Seven
6300118,The Sapphire Flame,Seven,Kelvin,Dynamo,Bebop,Wraith,Grey Talon,Haze,Infernus,Vindicta,Viscous,Lash,Mo & Krill
6300121,The Amber Hand,Yamato,Bebop,Lash,Shiv,Haze,Vindicta,Seven,Kelvin,Paradox,Wraith,McGinnis,Warden
6300122,The Sapphire Flame,Warden,Paradox,McGinnis,Haze,Wraith,Yamato,Vindicta,Mo & Krill,Grey Talon,Infernus,Pocket,Seven
6300123,The Amber Hand,Paradox,Wraith,Seven,Abrams,Vindicta,Mo & Krill,Warden,Infernus,McGinnis,Grey Talon,Haze,Ivy
6300124,The Amber Hand,Wraith,Pocket,Lady Geist,Vindicta,McGinnis,Kelvin,Grey Talon,Seven,Haze,Shiv,Infernus,Viscous
6300125,The Sapphire Flame,Vindicta,Lady Geist,Yamato,Haze,Grey Talon,Seven,Pocket,Infernus,McGinnis,Bebop,Wraith,Warden
