matchid,duration,winner,hero_1_A,hero_2_A,hero_3_A,hero_4_A,hero_5_A,hero_6_A,hero_1_B,hero_2_B,hero_3_B,hero_4_B,hero_5_B,hero_6_B
6425784,39:33,1,yamato,grey talon,warden,ivy,mcginnis,paradox,viscous,kelvin,lady geist,vindicta,haze,wraith
6425785,39:22,1,abrams,warden,dynamo,pocket,shiv,infernus,seven,haze,ivy,kelvin,lash,mcginnis
6425786,19:00,1,grey talon,shiv,haze,mcginnis,bebop,seven,wraith,infernus,paradox,lady geist,yamato,vindicta
6425787,39:52,1,yamato,abrams,vindicta,lady geist,dynamo,seven,ivy,grey talon,haze,wraith,kelvin,infernus
6425789,38:25,1,vindicta,abrams,pocket,wraith,mo & krill,bebop,lash,shiv,infernus,grey talon,dynamo,mcginnis
6425790,37:44,0,mcginnis,seven,ivy,yamato,bebop,dynamo,lady geist,pocket,warden,haze,kelvin,infernus
6425791,29:23,0,grey talon,infernus,ivy,wraith,seven,shiv,haze,viscous,kelvin,vindicta,mo & krill,paradox
6425792,39:32,1,mcginnis,wraith,paradox,lady geist,seven,mo & krill,abrams,dynamo,bebop,kelvin,shiv,haze
6425793,34:20,0,wraith,haze,abrams,bebop,infernus,lady geist,ivy,mcginnis,warden,seven,paradox,grey talon
6425795,47:41,0,dynamo,grey talon,viscous,wraith,haze,abrams,seven,lady geist,vindicta,kelvin,infernus,yamato
6425797,35:34,0,seven,lady geist,pocket,haze,viscous,kelvin,paradox,grey talon,mcginnis,dynamo,infernus,warden
6425798,36:47,1,grey talon,vindicta,seven,wraith,mo & krill,kelvin,infernus,ivy,lash,abrams,bebop,mcginnis
6425799,39:13,0,vindicta,lash,lady geist,dynamo,haze,paradox,wraith,grey talon,yamato,infernus,seven,shiv
6425800,26:40,1,shiv,mcginnis,haze,abrams,seven,wraith,ivy,vindicta,yamato,dynamo,pocket,mo & krill
