matchid,duration,winner,hero_1_A,nickname_1_A,lane_1_A,kills_1_A,deaths_1_A,assists_1_A,souls_1_A,SPM_1_A,last_hits_1_A,denies_1_A,level_1_A,hero_2_A,nickname_2_A,lane_2_A,kills_2_A,deaths_2_A,assists_2_A,souls_2_A,SPM_2_A,last_hits_2_A,denies_2_A,level_2_A,hero_3_A,nickname_3_A,lane_3_A,kills_3_A,deaths_3_A,assists_3_A,souls_3_A,SPM_3_A,last_hits_3_A,denies_3_A,level_3_A,hero_4_A,nickname_4_A,lane_4_A,kills_4_A,deaths_4_A,assists_4_A,souls_4_A,SPM_4_A,last_hits_4_A,denies_4_A,level_4_A,hero_5_A,nickname_5_A,lane_5_A,kills_5_A,deaths_5_A,assists_5_A,souls_5_A,SPM_5_A,last_hits_5_A,denies_5_A,level_5_A,hero_6_A,nickname_6_A,lane_6_A,kills_6_A,deaths_6_A,assists_6_A,souls_6_A,SPM_6_A,last_hits_6_A,denies_6_A,level_6_A,hero_1_B,nickname_1_B,lane_1_B,kills_1_B,deaths_1_B,assists_1_B,souls_1_B,SPM_1_B,last_hits_1_B,denies_1_B,level_1_B,hero_2_B,nickname_2_B,lane_2_B,kills_2_B,deaths_2_B,assists_2_B,souls_2_B,SPM_2_B,last_hits_2_B,denies_2_B,level_2_B,hero_3_B,nickname_3_B,lane_3_B,kills_3_B,deaths_3_B,assists_3_B,souls_3_B,SPM_3_B,last_hits_3_B,denies_3_B,level_3_B,hero_4_B,nickname_4_B,lane_4_B,kills_4_B,deaths_4_B,assists_4_B,souls_4_B,SPM_4_B,last_hits_4_B,denies_4_B,level_4_B,hero_5_B,nickname_5_B,lane_5_B,kills_5_B,deaths_5_B,assists_5_B,souls_5_B,SPM_5_B,last_hits_5_B,denies_5_B,level_5_B,hero_6_B,nickname_6_B,lane_6_B,kills_6_B,deaths_6_B,assists_6_B,souls_6_B,SPM_6_B,last_hits_6_B,denies_6_B,level_6_B
6428751,25:53,The Sapphire Flame,Wraith,1405595612,Left,2,12,3,16249,627.78,77,0,21,Infernus,TTV Pullks,Left,4,12,6,20588,795.42,81,4,23,Dynamo,RunDMT,Mid Right,0,9,4,16767,647.79,109,17,21,Vindicta,34338716,Right,4,8,4,19637,758.67,75,10,22,Ivy,Drunk Weathers,Right,5,3,14,23468,906.68,127,9,24,Warden,CR4ZE,Right,8,8,6,19026,735.07,46,4,22,Bebop,idippedmyhandinspaghetti,Left,24,2,13,29014,1120.95,61,6,26,Lady Geist,176849775,Left,10,1,25,26105,1008.56,111,4,25,Lash,trezrant,Mid Right,11,4,10,24789,957.72,120,12,25,Seven,165028144,Right,6,4,17,25075,968.77,145,8,25,Viscous,Boonana,Right,0,6,6,21350,824.86,95,5,23,Shiv,DefiantGaze,Right,1,6,13,19154,740.01,87,12,22
6428756,34:55,The Sapphire Flame,Infernus,Daikoku,Left,7,4,7,34656,992.53,193,16,28,Wraith,104360522,Mid Right,7,7,7,26609,762.07,184,8,25,Vindicta,83021363,Right,5,3,10,26403,756.17,62,34,25,Bebop,Tarantula,Right,2,6,6,21668,620.56,127,11,23,McGinnis,180331063,Right,20,4,11,39684,1136.53,193,15,30,Dynamo,moss,Right,10,8,14,29051,832.01,95,3,26,Seven,1808930461,Left,5,5,9,31538,903.24,167,14,27,Shiv,369366837,Mid Right,13,7,5,39751,1138.45,153,8,30,Lady Geist,132969514,Right,4,6,9,34339,983.46,185,12,28,Paradox,403258593,Right,2,11,1,24424,699.49,132,0,25,Ivy,144958607,Right,3,10,4,24145,691.5,107,7,25,Warden,80560807,Right,5,12,12,28598,819.04,88,15,26
6428760,29:38,The Sapphire Flame,Haze,Mr. Steal Yo Cat,Left,2,6,4,26035,878.57,150,31,25,Bebop,Pugdynamite,Left,3,11,2,20440,689.76,109,4,23,McGinnis,GG,Mid Right,2,8,4,26956,909.65,174,26,25,Abrams,BB,Right,2,7,0,19209,648.22,137,19,22,Lady Geist,235170887,Right,2,8,1,23626,797.28,177,12,25,Wraith,80732636,Right,3,9,4,20000,674.92,99,7,23,Ivy,Magestii,Left,4,2,23,27752,936.51,80,3,26,Yamato,these violent delights,Left,11,3,10,40367,1362.22,184,5,30,Dynamo,Sparky,Mid Right,8,2,12,36289,1224.6,214,21,29,Infernus,Bubster,Right,4,1,13,29602,998.94,181,5,26,Shiv,thyngII,Right,17,6,6,29508,995.77,83,10,26,Kelvin,thebonscott.exe,Right,4,1,16,25493,860.28,95,5,25
6428761,38:11,The Amber Hand,Infernus,chyumimi,Left,10,3,24,41698,1092.05,206,14,30,Shiv,64896275,Left,4,9,9,26948,705.75,110,11,25,Dynamo,391763763,Mid Right,2,8,16,28018,733.78,135,15,26,Haze,169504055,Right,19,5,14,44373,1162.1,207,13,31,Vindicta,MENTO_ILLNESS,Right,15,3,16,47739,1250.26,206,19,33,Lash,fofo on the lolo,Right,10,4,15,35536,930.67,163,9,28,Seven,66101035,Left,15,6,5,44257,1159.07,195,2,31,McGinnis,19224190,Left,2,13,11,29019,759.99,95,7,26,Warden,97198111,Mid Right,9,8,7,35505,929.86,137,7,28,Abrams,50817383,Right,4,12,4,34385,900.52,147,11,28,Kelvin,68045914,Right,1,12,6,28935,757.79,74,11,26,Viscous,241771456,Right,1,9,4,31193,816.93,136,16,27
6428762,39:30,The Amber Hand,Haze,GsB,Left,9,6,12,43096,1091.04,184,14,31,McGinnis,44047648,Left,3,7,16,38101,964.58,173,6,29,Paradox,akazi,Mid Right,7,5,19,34868,882.73,139,14,28,Dynamo,Broccoli,Right,15,9,16,35209,891.37,74,1,28,Ivy,Seardragon,Right,9,5,16,32356,819.14,116,2,27,Vindicta,36769294,Right,14,1,15,44388,1123.75,131,9,31,Lady Geist,95410808,Left,8,8,6,32100,812.66,167,9,27,Wraith,Major Tom,Left,5,5,11,33549,849.34,175,11,28,Abrams,26783582,Mid Right,12,9,6,32402,820.3,133,14,27,Seven,74120081,Right,1,14,10,27099,686.05,161,1,26,Viscous,137192194,Right,7,8,5,35768,905.52,198,13,28,Infernus,876155879,Right,0,13,5,19323,489.19,88,3,22
6428764,26:33,The Sapphire Flame,Abrams,1505109145,Left,0,9,3,10179,383.39,35,0,15,Seven,894206661,Mid Right,5,9,0,21440,807.53,137,3,23,Wraith,960147558,Right,0,10,3,13171,496.08,51,3,18,Vindicta,897159146,Right,4,6,3,20607,776.16,106,8,23,Bebop,478737185,Right,3,11,2,17344,653.26,78,0,21,Dynamo,338541030,Right,3,10,2,15713,591.83,71,1,20,Grey Talon,1085068623,Left,0,3,5,11950,450.09,41,1,16,Shiv,394693628,Mid Right,14,2,5,20564,774.54,59,0,23,Infernus,Veroncete,Right,14,0,5,26602,1001.96,114,1,25,Ivy,373339441,Right,4,5,9,22315,840.49,79,1,24,Pocket,1270916530,Right,3,2,8,19124,720.3,94,1,22,Haze,288404422,Right,20,3,4,32440,1221.85,129,7,27
6428765,28:17,The Amber Hand,Wraith,evillunch2,Left,11,3,18,24944,881.93,80,10,25,Seven,Sure,Left,9,1,9,29412,1039.91,196,1,26,Infernus,xXGarfieldXx,Mid Right,15,4,12,28120,994.23,88,7,26,Paradox,westy,Mid Right,8,1,17,27394,968.56,136,8,26,Viscous,74691966,Right,5,2,17,24492,865.95,129,2,25,McGinnis,90413806,Right,1,6,9,20823,736.23,100,1,23,Ivy,Lord Stroker,Left,4,8,2,13653,482.72,47,5,18,Grey Talon,891456574,Left,0,12,4,8707,307.85,19,1,13,Shiv,38837417,Mid Right,5,9,3,18315,647.55,40,7,22,Abrams,38410597,Mid Right,4,8,3,23472,829.89,131,14,24,Warden,368044149,Right,4,5,4,24335,860.4,158,9,25,Kelvin,Magruder,Right,0,7,1,18134,641.15,98,5,22
6428766,24:00,The Sapphire Flame,Seven,120419636,Left,0,10,3,12245,510.21,90,6,17,Vindicta,294181489,Mid Right,4,6,5,12463,519.29,32,3,17,Bebop,Arcturus,Mid Right,8,9,6,17974,748.92,96,5,21,Wraith,70432895,Right,2,7,2,13388,557.83,79,7,18,Viscous,Rat Jesus,Right,1,5,3,12937,539.04,47,5,17,Haze,Decent Carpet,Right,3,8,3,19007,791.96,139,13,22,Abrams,Kalis,Left,19,0,6,34117,1421.54,159,14,28,Kelvin,taalbs,Mid Right,6,5,10,24771,1032.13,110,4,25,Grey Talon,59590528,Mid Right,4,7,11,17301,720.88,41,2,21,Ivy,1105175510,Right,2,0,20,24171,1007.13,81,21,25,Infernus,84873510,Right,1,4,13,22358,931.58,92,5,24,Shiv,Pwn1569,Right,13,3,7,23916,996.5,84,12,24
6428772,14:53,The Sapphire Flame,Grey Talon,130666089,Left,4,8,0,9260,622.17,40,2,14,Mo & Krill,1751960,Left,1,10,3,6932,465.76,22,0,11,Infernus,19808045,Mid Right,1,7,2,8270,555.66,37,3,13,Haze,32968784,Mid Right,2,5,3,9452,635.07,40,6,14,Abrams,92096389,Right,0,7,1,5451,366.25,29,3,10,McGinnis,43351898,Right,0,4,1,7135,479.4,62,1,11,Vindicta,89691814,Left,9,3,9,20390,1369.99,32,1,23,Seven,71486763,Left,12,2,5,16339,1097.81,67,1,21,Ivy,82679862,Mid Right,1,1,12,13295,893.28,48,6,18,Wraith,102639386,Mid Right,7,1,5,15615,1049.16,62,6,20,Pocket,68856442,Right,7,1,4,13801,927.28,60,6,18,Paradox,81548211,Right,5,0,3,14193,953.62,82,7,18
6428777,36:50,The Sapphire Flame,Shiv,87602024,Left,5,9,3,28181,765.1,174,5,26,Viscous,Tom,Mid Right,0,9,5,21803,591.94,108,13,23,Lady Geist,Jello.01,Right,3,17,8,20696,561.88,75,3,23,Pocket,195316418,Right,2,15,7,28495,773.62,188,10,26,Seven,king daddy,Right,12,8,4,40451,1098.22,228,6,30,Grey Talon,8353797,Right,1,8,8,22767,618.11,68,17,24,Vindicta,412669553,Left,10,4,17,32428,880.4,123,34,27,Paradox,473110790,Mid Right,9,3,18,32800,890.5,152,10,27,Lash,159246489,Right,15,7,21,31464,854.23,92,11,27,Dynamo,422237633,Right,12,4,20,29967,813.58,86,6,26,Abrams,75827344,Right,8,2,18,35972,976.62,181,7,28,Haze,Sandwich,Right,12,3,22,40011,1086.27,218,3,30
